feature,feature value,n_samples,precision,recall,fbeta
workclass,?,364,0.75,0.4411764705882353,0.5555555555555556
workclass,Private,4566,0.7985074626865671,0.6350148367952523,0.7074380165289258
workclass,Local-gov,432,0.7741935483870968,0.7164179104477612,0.7441860465116278
workclass,State-gov,253,0.7307692307692307,0.6666666666666666,0.6972477064220183
workclass,Self-emp-inc,214,0.75,0.8135593220338984,0.7804878048780488
workclass,Federal-gov,187,0.7352941176470589,0.6944444444444444,0.7142857142857144
workclass,Self-emp-not-inc,495,0.7567567567567568,0.5915492957746479,0.6640316205533597
workclass,Without-pay,1,1.0,1.0,1.0
workclass,Never-worked,1,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
education,HS-grad,2184,0.7972027972027972,0.336283185840708,0.47302904564315357
education,Assoc-voc,284,0.75,0.6,0.6666666666666665
education,Bachelors,1007,0.776595744680851,0.8429561200923787,0.8084163898117386
education,10th,172,1.0,0.21428571428571427,0.35294117647058826
education,Some-college,1423,0.7115384615384616,0.5304659498207885,0.6078028747433265
education,Masters,369,0.8246445497630331,0.8571428571428571,0.8405797101449276
education,11th,246,1.0,0.45454545454545453,0.625
education,Assoc-acdm,209,0.7818181818181819,0.7049180327868853,0.7413793103448276
education,Prof-school,107,0.8961038961038961,0.92,0.9078947368421053
education,7th-8th,126,1.0,0.18181818181818182,0.3076923076923077
education,9th,112,1.0,0.16666666666666666,0.2857142857142857
education,12th,79,1.0,0.3333333333333333,0.5
education,Doctorate,80,0.7076923076923077,0.9387755102040817,0.8070175438596492
education,5th-6th,68,1.0,0.6666666666666666,0.8
education,Preschool,8,1.0,1.0,1.0
education,1st-4th,39,1.0,0.0,0.0
feature,feature value,n_samples,precision,recall,fbeta
marital-status,Married-civ-spouse,2997,0.77,0.6936936936936937,0.7298578199052133
marital-status,Divorced,907,0.8888888888888888,0.45454545454545453,0.6015037593984961
marital-status,Never-married,2079,0.9347826086956522,0.4673913043478261,0.6231884057971014
marital-status,Separated,214,0.3333333333333333,0.058823529411764705,0.1
marital-status,Married-spouse-absent,90,1.0,0.3333333333333333,0.5
marital-status,Widowed,223,1.0,0.35714285714285715,0.5263157894736842
marital-status,Married-AF-spouse,3,1.0,0.0,0.0
feature,feature value,n_samples,precision,recall,fbeta
occupation,?,365,0.75,0.4411764705882353,0.5555555555555556
occupation,Machine-op-inspct,389,0.7619047619047619,0.3902439024390244,0.5161290322580646
occupation,Prof-specialty,810,0.792,0.8227146814404432,0.8070652173913043
occupation,Other-service,688,1.0,0.2222222222222222,0.3636363636363636
occupation,Adm-clerical,765,0.6956521739130435,0.48,0.5680473372781065
occupation,Exec-managerial,809,0.800498753117207,0.7985074626865671,0.7995018679950187
occupation,Tech-support,198,0.7627118644067796,0.6617647058823529,0.7086614173228345
occupation,Sales,726,0.7666666666666667,0.7301587301587301,0.7479674796747968
occupation,Transport-moving,348,0.7727272727272727,0.25757575757575757,0.38636363636363635
occupation,Protective-serv,133,0.8235294117647058,0.5714285714285714,0.6746987951807228
occupation,Craft-repair,796,0.7171717171717171,0.3837837837837838,0.5
occupation,Farming-fishing,185,0.9285714285714286,0.4642857142857143,0.6190476190476191
occupation,Handlers-cleaners,266,0.8571428571428571,0.3333333333333333,0.48
occupation,Armed-Forces,3,1.0,1.0,1.0
occupation,Priv-house-serv,32,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
relationship,Husband,2633,0.7761053621825024,0.6938603868797308,0.7326820603907637
relationship,Not-in-family,1649,0.9135802469135802,0.43023255813953487,0.5849802371541502
relationship,Other-relative,213,0.5,0.1,0.16666666666666669
relationship,Unmarried,720,0.8636363636363636,0.3958333333333333,0.5428571428571428
relationship,Own-child,978,0.7142857142857143,0.38461538461538464,0.5
relationship,Wife,320,0.7348484848484849,0.7132352941176471,0.7238805970149254
feature,feature value,n_samples,precision,recall,fbeta
race,White,5558,0.7885906040268457,0.6564245810055865,0.7164634146341463
race,Black,631,0.8305084745762712,0.6363636363636364,0.7205882352941178
race,Other,58,0.5,0.5,0.5
race,Asian-Pac-Islander,214,0.5957446808510638,0.5490196078431373,0.5714285714285715
race,Amer-Indian-Eskimo,52,0.4,0.5,0.4444444444444445
feature,feature value,n_samples,precision,recall,fbeta
sex,Male,4335,0.7803365810451727,0.6579536967886482,0.7139384116693679
sex,Female,2178,0.7865168539325843,0.611353711790393,0.687960687960688
feature,feature value,n_samples,precision,recall,fbeta
native-country,United-States,5816,0.784991568296796,0.6492329149232915,0.7106870229007634
native-country,?,130,0.8064516129032258,0.78125,0.7936507936507936
native-country,Dominican-Republic,15,1.0,0.0,0.0
native-country,Mexico,121,1.0,0.375,0.5454545454545454
native-country,China,17,0.5714285714285714,0.8,0.6666666666666666
native-country,India,20,0.6666666666666666,0.5454545454545454,0.6
native-country,Trinadad&Tobago,5,1.0,0.0,0.0
native-country,Japan,10,0.6,0.6,0.6
native-country,El-Salvador,29,1.0,1.0,1.0
native-country,Canada,21,0.75,0.42857142857142855,0.5454545454545454
native-country,Hungary,3,1.0,1.0,1.0
native-country,Germany,32,0.8571428571428571,0.9230769230769231,0.888888888888889
native-country,Philippines,36,0.5555555555555556,0.7142857142857143,0.6250000000000001
native-country,Portugal,11,1.0,1.0,1.0
native-country,Ecuador,8,0.0,1.0,0.0
native-country,Jamaica,17,0.0,0.0,0.0
native-country,Poland,5,1.0,1.0,1.0
native-country,England,17,0.5,0.25,0.3333333333333333
native-country,Italy,13,0.75,0.6,0.6666666666666665
native-country,South,13,0.0,1.0,0.0
native-country,Iran,11,1.0,1.0,1.0
native-country,France,12,0.7142857142857143,0.8333333333333334,0.7692307692307692
native-country,Guatemala,14,1.0,1.0,1.0
native-country,Columbia,19,1.0,0.0,0.0
native-country,Cambodia,5,1.0,0.0,0.0
native-country,Thailand,2,1.0,1.0,1.0
native-country,Outlying-US(Guam-USVI-etc),2,1.0,1.0,1.0
native-country,Haiti,9,1.0,1.0,1.0
